,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
35867,0.619,0.58308,0.62291,0.60266,0.67951,1.0161,0.93479,1.0327,0.5285,0.15106,0.10876,0.13538
25497,0.53827,0.47317,0.52742,0.5216,0.58558,0.77693,0.71174,0.79816,0.32172,0.00579,0.09427,0.11324
28154,0.51812,0.49096,0.54953,0.48715,0.59105,0.91126,0.75248,0.96852,0.15043,0.00033,0.73842,0.51113
44879,0.52314,0.45923,0.51839,0.50312,0.5907,0.7237,0.70417,0.72972,0.4343,0.03645,0.53026,0.4029
22729,0.43748,0.35794,0.39143,0.38739,0.42549,0.62625,0.59989,0.63162,0.30913,0.01201,0.35779,0.23099
13104,0.59586,0.54928,0.59581,0.58545,0.6408,0.92294,0.88824,0.92856,0.53021,0.05316,0.09337,0.1156
30419,0.65361,0.61664,0.65199,0.58556,0.65321,1.00844,0.81862,1.07192,0.29797,0.02297,0.40245,0.3008
11870,0.6887,0.65808,0.71068,0.70647,0.75862,1.0362,0.99104,1.04874,0.54055,0.03159,0.67237,0.47952
49828,0.42189,0.35094,0.44732,0.38828,0.54402,0.69597,0.63315,0.71718,0.14552,0.00101,0.09376,0.11164
44811,0.92181,0.883,0.93984,0.92008,0.93611,0.96135,0.90782,0.98045,0.75311,0.1835,0.10982,0.13449
19372,0.6289,0.59422,0.62601,0.62532,0.63894,0.65235,0.63074,0.66227,0.39047,0.0475,0.48441,0.33498
45018,0.51366,0.45112,0.51041,0.48068,0.59534,0.708,0.66192,0.7199,0.35155,0.05145,0.37099,0.24336
20318,0.5808,0.53553,0.57535,0.58159,0.62572,0.88958,0.84519,0.90044,0.52434,0.10209,0.1117,0.13472
5789,0.59628,0.51478,0.54644,0.50426,0.54697,0.68558,0.58262,0.71839,0.05617,0.00057,0.51901,0.39544
35977,0.98786,0.94227,0.98037,0.97756,0.9973,1.0528,0.99073,1.08376,0.61006,0.05192,0.77618,0.61747
48651,0.91259,0.86699,0.89402,0.90073,0.90121,0.91579,0.90645,0.92264,0.86878,0.30268,0.12576,0.14918
41111,0.69266,0.67516,0.76252,0.96916,0.98814,0.99879,0.94937,1.00545,0.64116,0.17088,0.12201,0.14505
20081,0.49848,0.45347,0.50817,0.46832,0.55964,0.8542,0.79469,0.86672,0.26348,0.00098,0.1526,0.17164
31302,0.94204,0.89112,0.92204,0.92556,0.92487,0.93187,0.91305,0.92178,0.86959,0.25896,0.08898,0.11141
28543,0.23685,0.24622,0.41666,0.24842,0.63988,1.01492,1.00397,1.01975,0.73908,0.06268,0.97927,0.75182
32053,0.3673,0.34865,0.49145,0.35684,0.63292,0.97376,0.9285,0.98999,0.33,0.00063,0.90625,0.86552
49945,0.71446,0.67358,0.70206,0.70979,0.71579,0.7185,0.70885,0.72035,0.55192,0.061,0.07876,0.09899
1914,0.84002,0.79436,0.83368,0.83373,0.84936,0.92111,0.86944,0.92281,0.71996,0.14422,0.06646,0.08473
