,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
194213,0.83853,0.82338,0.82128,0.89606,1.02234,1.0341,0.97333,1.03373,0.58284,0.05253,0.1753,0.18452
146218,0.66295,0.58152,0.63327,0.67304,0.75094,0.75981,0.73859,0.76377,0.67288,0.29306,0.13673,0.16029
376664,0.84932,0.7965,0.82902,0.82671,0.8353,0.83805,0.8124,0.83546,0.50699,0.02111,0.09041,0.10818
265059,0.07543,0.04553,0.02605,0.02096,0.01774,0.01461,0.01126,0.01006,0.00436,0.00055,0.00082,0.0
268411,0.05308,0.03185,0.01765,0.01443,0.01198,0.00969,0.0077,0.00658,0.00418,0.00065,0.00053,0.0
346860,0.18537,0.14538,0.13695,0.13668,0.1356,0.13366,0.13015,0.13085,0.09453,0.00788,0.05754,0.06023
108714,0.7434,0.73755,0.90401,0.86164,0.88952,0.92767,0.853,0.95334,0.71749,0.31256,0.14459,0.16893
50298,0.32528,0.46224,0.28224,0.65861,0.98721,0.99495,0.96687,1.0012,0.52472,0.00364,0.79454,0.35714
77507,0.40465,0.43533,0.81298,0.87202,0.91414,0.93819,0.91913,0.96815,0.43922,0.00234,0.8979,0.75372
80871,0.26104,0.36087,0.23633,0.51501,0.96733,0.98211,0.94432,0.99485,0.39845,0.00083,0.8685,0.42453
140602,0.48956,0.52302,0.45755,0.63824,0.95402,0.97844,0.90514,0.99548,0.37955,0.01491,0.09029,0.10365
55779,0.26692,0.36701,0.21157,0.52293,0.95582,0.97979,0.91991,0.9964,0.25821,0.00046,0.72434,0.32195
366522,0.56747,0.5389,0.5588,0.56872,0.57498,0.5806,0.57703,0.58758,0.44219,0.0568,0.54015,0.45186
389632,0.87972,0.83025,0.85937,0.85357,0.85861,0.86039,0.83632,0.85579,0.65669,0.05983,0.05374,0.06903
174721,0.50517,0.50117,0.47979,0.59343,0.86422,0.87425,0.84519,0.88253,0.44725,0.01738,0.15227,0.15657
263814,0.05756,0.0344,0.01878,0.01484,0.01248,0.01024,0.00784,0.00701,0.00284,0.00034,0.00057,0.0
237533,0.40617,0.31561,0.33421,0.34606,0.35233,0.35466,0.34645,0.3576,0.2004,0.00372,0.35905,0.31755
234753,0.39164,0.36127,0.36731,0.37279,0.37508,0.37775,0.37588,0.38073,0.28409,0.0355,0.35315,0.29079
44794,0.44812,0.35749,0.37582,0.41642,0.498,0.52661,0.4831,0.54185,0.29832,0.06042,0.30647,0.2052
151405,0.73639,0.69709,0.71377,0.7081,0.86403,0.92078,0.80534,0.95273,0.31614,0.0023,0.06322,0.07935
382142,0.81391,0.76081,0.79832,0.81424,0.81825,0.81789,0.81469,0.81623,0.77947,0.27542,0.11078,0.13595
375257,0.82087,0.78288,0.82367,0.81677,0.83652,0.85528,0.8184,0.87006,0.41181,0.01374,0.66311,0.52565
128497,0.83857,0.81139,0.89725,0.86952,0.88999,0.91896,0.84504,0.93109,0.57914,0.02634,0.04756,0.0614
314172,0.71896,0.67881,0.69969,0.70821,0.71014,0.70905,0.70447,0.70642,0.62656,0.10097,0.05869,0.07499
94547,0.29399,0.41793,0.24918,0.58948,0.98525,0.99453,0.96152,1.00166,0.47455,0.00171,0.69752,0.34179
26811,0.34643,0.357,0.25838,0.52673,0.65461,0.65455,0.64917,0.65462,0.51231,0.05963,0.28284,0.19253
178206,0.75944,0.72889,0.74963,0.764,0.89133,0.94675,0.84168,0.98367,0.4567,0.06504,0.48226,0.35519
104230,0.74768,0.72421,0.72613,0.78304,0.84434,0.88508,0.80652,0.90955,0.55902,0.04169,0.0702,0.08847
83197,0.29834,0.34773,0.35863,0.51566,0.73708,0.82943,0.85664,0.9504,0.35663,0.00048,0.95402,0.91363
169080,0.9785,0.90819,0.96101,0.96169,0.98072,0.99265,0.95168,1.00184,0.56261,0.16008,0.41595,0.392
387494,0.80615,0.75765,0.78989,0.80541,0.80937,0.80942,0.80775,0.80858,0.77159,0.34146,0.16656,0.19623
276321,0.04772,0.02836,0.01547,0.01259,0.01044,0.00843,0.00668,0.00571,0.0035,0.00047,0.00046,0.0
278843,0.07972,0.04834,0.02832,0.02281,0.01944,0.01613,0.01236,0.01117,0.00459,0.00059,0.0009,0.0
117522,0.61689,0.62462,0.59405,0.74164,1.00741,1.00741,0.99347,1.00519,0.74172,0.03409,0.06423,0.08093
122861,0.54556,0.54648,0.52114,0.60425,0.96589,1.00266,0.90972,1.02558,0.5228,0.18952,0.11135,0.13114
122401,0.50987,0.46425,0.47675,0.53744,0.73552,0.76854,0.70791,0.78868,0.38607,0.04003,0.09091,0.10948
247566,0.62087,0.58922,0.62596,0.62812,0.64375,0.65513,0.63575,0.66703,0.30689,0.00122,0.64875,0.55177
215519,0.19779,0.13797,0.11872,0.1165,0.1129,0.10908,0.10483,0.10386,0.06566,0.00279,0.08941,0.08039
119690,0.57227,0.55913,0.55023,0.63799,0.95143,0.96174,0.917,0.96718,0.46924,0.00945,0.06946,0.0844
269733,0.05127,0.03056,0.01646,0.01306,0.01091,0.0089,0.00686,0.00606,0.00271,0.00033,0.00049,0.0
203539,0.51412,0.44187,0.47183,0.48534,0.49466,0.49996,0.49226,0.50663,0.31938,0.02019,0.48385,0.41953
231400,0.21007,0.13976,0.12066,0.11472,0.11274,0.1103,0.10016,0.10545,0.02749,0.00102,0.08594,0.07179
396106,0.61734,0.56967,0.59524,0.6081,0.61258,0.61372,0.61107,0.61446,0.55028,0.14477,0.11019,0.13128
290526,0.05609,0.03338,0.0186,0.01508,0.01261,0.01027,0.00803,0.00701,0.00356,0.00051,0.00057,0.0
327777,0.48886,0.42182,0.45426,0.46981,0.47774,0.48054,0.47302,0.48283,0.33116,0.0152,0.08134,0.09811
201432,0.54511,0.50307,0.53552,0.54201,0.55444,0.5637,0.55032,0.57463,0.2886,0.00319,0.56389,0.50834
98677,0.66728,0.67531,0.71722,0.64628,0.69079,0.73646,0.63184,0.73615,0.03884,0.00043,0.5537,0.44842
21294,0.49787,0.58752,0.70529,0.66032,0.64564,0.62048,0.53546,0.56103,0.14219,0.00142,0.83715,0.60154
81082,0.27264,0.29172,0.19287,0.45487,0.9079,0.93209,0.91557,0.96354,0.43698,0.00247,0.66327,0.28969
193067,0.7844,0.72004,0.76158,0.78082,0.82566,0.83667,0.80011,0.8382,0.56583,0.10061,0.13432,0.15651
371657,0.85832,0.8153,0.84177,0.84625,0.84944,0.84915,0.83745,0.84566,0.71887,0.14219,0.07198,0.09124
106113,0.27326,0.24572,0.19924,0.24774,0.68643,0.80236,0.6228,0.86423,0.00673,0.00058,0.45151,0.15347
193208,0.33605,0.40203,0.29755,0.53603,1.03533,1.03794,1.03608,1.04091,0.91565,0.26348,0.31266,0.20855
290493,0.11729,0.07202,0.04619,0.03906,0.03353,0.02779,0.02186,0.0194,0.00923,0.00122,0.00159,0.0
981,0.50754,0.48604,0.49102,0.52015,0.76268,0.8358,0.7196,0.87957,0.29821,0.00926,0.50222,0.39281
144561,0.44508,0.49334,0.41431,0.53724,0.83284,0.93633,0.75294,1.00001,0.20806,0.01292,0.12639,0.11715
284171,0.05192,0.03097,0.0167,0.01329,0.01109,0.00903,0.00699,0.00615,0.0028,0.00035,0.0005,0.0
395554,0.65285,0.59861,0.63236,0.64756,0.65243,0.65276,0.64873,0.65257,0.5505,0.06744,0.07493,0.09318
394998,0.71631,0.67899,0.69985,0.71004,0.71309,0.71363,0.71098,0.71349,0.6711,0.28145,0.09021,0.11297
191398,0.67428,0.63894,0.65852,0.69178,0.90788,0.96311,0.93474,0.96538,0.70567,0.2312,0.1096,0.13444
28002,0.55427,0.55329,0.55352,0.62853,0.98992,1.0063,0.95855,1.01944,0.48431,0.02908,0.75708,0.54827
40119,0.4057,0.33161,0.30767,0.50231,0.53581,0.53536,0.51641,0.53169,0.25493,0.00356,0.3163,0.16204
151901,0.65437,0.55451,0.61609,0.64756,0.68214,0.70063,0.6763,0.71316,0.56972,0.28095,0.13833,0.16196
331916,0.56747,0.50852,0.54048,0.5578,0.56278,0.56368,0.56227,0.56427,0.50557,0.11157,0.08621,0.1055
85071,0.31493,0.28753,0.20029,0.32227,0.67242,0.82527,0.61451,0.91985,0.01569,0.00164,0.45989,0.09564
362814,0.88174,0.83454,0.86816,0.8686,0.87821,0.88346,0.86023,0.88497,0.64897,0.12066,0.08679,0.10805
32115,0.68394,0.66538,0.68792,0.72333,0.93109,0.98171,0.88246,1.01814,0.51771,0.07562,0.76184,0.59098
272165,0.06422,0.03804,0.02169,0.01792,0.01497,0.01216,0.00964,0.00829,0.00492,0.00066,0.00068,0.0
