,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
171941,0.2683,0.48108,0.2144,0.7148,0.99539,0.99833,0.98824,1.00153,0.74531,0.0759,0.95697,0.48965
52629,0.2595,0.34903,0.23178,0.48941,0.97746,0.99116,0.94744,1.0011,0.38266,0.00057,0.95327,0.65915
296370,0.10278,0.063,0.03881,0.03211,0.02749,0.02278,0.01771,0.01584,0.00679,0.00085,0.00129,0.0
155321,0.4111,0.67265,0.40945,0.98243,0.99308,0.99758,0.98112,1.00185,0.65628,0.02645,0.74478,0.37106
68553,0.40469,0.47401,0.35783,0.57528,0.87271,0.94581,0.80909,0.98686,0.03501,0.00039,0.91443,0.67549
13063,0.27508,0.37755,0.24315,0.50936,0.92412,0.96446,0.88222,0.99043,0.14348,0.00051,0.81661,0.37298
280316,0.05363,0.03203,0.01738,0.01389,0.01159,0.00943,0.00732,0.00642,0.00301,0.00035,0.00052,0.0
102332,0.97714,0.91464,0.96266,0.97509,0.98765,0.99336,0.97555,0.99924,0.62739,0.01709,0.95135,0.93213
72905,0.29345,0.40817,0.2624,0.57432,0.978,0.99089,0.9495,1.00046,0.39602,0.00069,0.77644,0.36772
307342,0.06228,0.03449,0.01773,0.01396,0.01157,0.00936,0.00719,0.00631,0.0029,0.00036,0.0005,0.0
64762,0.18843,0.26822,0.1504,0.3787,0.9023,0.95348,0.85435,0.98694,0.09195,0.00041,0.59751,0.22714
62460,0.99996,0.93355,0.95531,0.89966,0.93817,0.97551,0.88893,0.99772,0.14724,0.00033,0.12868,0.17538
365229,0.05796,0.03229,0.01664,0.01336,0.01096,0.00877,0.00692,0.00588,0.00377,0.00058,0.00047,0.0
22274,0.38643,0.46061,0.31637,0.76625,0.90223,0.93031,0.90353,0.96436,0.3545,0.002,0.70479,0.36733
95656,0.32077,0.34118,0.26786,0.4135,0.86578,0.93424,0.81319,0.97823,0.04775,0.00069,0.84898,0.38151
167636,0.43235,0.49743,0.39418,0.89396,0.92807,0.94577,0.94449,0.97041,0.64866,0.02639,0.89436,0.65235
85813,0.31874,0.35254,0.22962,0.5341,0.89007,0.93084,0.867,0.96863,0.1614,0.00156,0.25755,0.12475
31982,0.4463,0.53716,0.8845,0.90352,0.9379,0.96048,0.92087,0.98282,0.33204,0.00101,0.91609,0.86247
194328,0.33279,0.33467,0.28649,0.46283,0.9026,0.93981,0.87875,0.97419,0.19313,0.00099,0.90502,0.50575
255910,0.04856,0.02893,0.01559,0.0124,0.01035,0.00843,0.00652,0.00574,0.00266,0.00033,0.00047,0.0
307942,0.05699,0.03169,0.01624,0.0128,0.01059,0.00855,0.0066,0.00576,0.00278,0.00037,0.00046,0.0
273179,0.04842,0.02886,0.01555,0.01259,0.01041,0.0084,0.00665,0.00568,0.00352,0.00049,0.00046,0.0
208699,0.07597,0.04149,0.02183,0.01767,0.01454,0.01166,0.00918,0.00782,0.00482,0.00069,0.00062,0.0
58737,0.22251,0.25019,0.61743,0.71486,0.80643,0.90661,0.74415,0.96642,0.01373,0.00055,0.48545,0.14711
171620,0.11237,0.08281,0.0697,0.06728,0.06522,0.06304,0.06057,0.06023,0.04341,0.00382,0.04804,0.03929
384450,0.05958,0.03328,0.01718,0.01381,0.01132,0.00906,0.00717,0.00608,0.0041,0.00069,0.00048,0.0
227613,0.0578,0.03243,0.01674,0.01346,0.01104,0.00884,0.00699,0.00593,0.00392,0.00063,0.00047,0.0
315461,0.07059,0.03863,0.01995,0.01542,0.01294,0.01058,0.00796,0.00718,0.00266,0.00031,0.00056,0.0
326620,0.05593,0.03105,0.01592,0.01249,0.01037,0.00839,0.00644,0.00566,0.00251,0.0003,0.00045,0.0
149602,0.21206,0.28048,0.17337,0.39985,0.96164,0.9825,0.9269,0.9974,0.28369,0.00049,0.94577,0.59407
360683,0.12803,0.07057,0.04081,0.0339,0.02846,0.02311,0.01814,0.01575,0.00816,0.00098,0.00125,0.0
346602,0.07069,0.03899,0.02022,0.01606,0.01329,0.01072,0.0083,0.00722,0.00355,0.00042,0.00057,0.0
