Clear_B01,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
0.08046,0.12651,0.10121,0.08973,0.0782,0.08147,0.0869,0.07337,0.08438,0.00572,0.00026,0.06408,0.0503
0.14187,0.25743,0.23075,0.33343,0.21894,0.44266,0.95602,0.86298,0.9874,0.10659,0.00059,0.91863,0.73757
0.10942,0.2546,0.24451,0.28867,0.38164,0.48683,0.61797,0.65468,0.92758,0.06479,0.0005,0.92266,0.78866
0.0857,0.57631,0.58573,0.72181,0.52648,0.76626,0.96683,0.8638,0.99478,0.09835,0.00029,0.55566,0.41877
0.18305,0.22528,0.18267,0.35068,0.18339,0.47152,0.93865,0.8849,0.97215,0.21796,0.00136,0.89841,0.78746
0.12178,0.19342,0.21346,0.46034,0.20605,0.66408,0.95493,0.8467,0.98856,0.07699,0.0004,0.91665,0.64363
0.12183,0.59448,0.5746,0.70591,0.72831,0.83303,0.93005,0.7838,0.97841,0.02361,0.00043,0.89766,0.70197
0.13024,0.23186,0.22834,0.37992,0.23778,0.5362,0.97766,0.94361,0.99217,0.42002,0.00108,0.93439,0.81641
0.08766,0.21729,0.23227,0.42589,0.21096,0.59368,0.98604,0.93971,0.99835,0.35174,0.00044,0.94738,0.8435
0.07938,0.19222,0.20759,0.37773,0.18906,0.49568,0.99293,0.9595,1.00076,0.47603,0.00202,0.77761,0.70016
0.07824,0.48335,0.51409,0.61399,0.6077,0.63742,0.6707,0.61763,0.6899,0.08957,0.00028,0.67012,0.64423
0.14329,0.21286,0.18723,0.30912,0.17397,0.53151,0.97063,0.91323,0.99109,0.24986,0.00074,0.83741,0.70852
0.0908,0.29232,0.30963,0.46966,0.70905,0.85758,0.9484,0.80994,0.98829,0.03459,0.00031,0.92011,0.74102
0.19534,0.25408,0.21631,0.351,0.21759,0.48908,0.92077,0.82609,0.96695,0.07755,0.00102,0.87916,0.69082
0.07979,0.23509,0.2447,0.44521,0.22015,0.635,0.99799,0.9863,1.00149,0.72498,0.06185,0.833,0.63746
0.09173,0.13402,0.10607,0.09486,0.0925,0.0915,0.09154,0.08725,0.08599,0.05852,0.00302,0.06595,0.06184
0.1645,0.21487,0.19396,0.33692,0.1582,0.43086,0.9123,0.75598,0.9692,0.01668,0.00056,0.77324,0.50208
0.08403,0.26183,0.30754,0.55381,0.30074,0.77485,0.96951,0.87313,0.99539,0.12031,0.00029,0.91724,0.59543
0.08316,0.19668,0.19138,0.32535,0.16182,0.40894,0.95602,0.83355,0.99092,0.05574,0.00025,0.92784,0.76602
0.14355,0.2046,0.17355,0.27512,0.15386,0.39909,0.95005,0.86208,0.98289,0.11162,0.00066,0.91135,0.73447
0.08613,0.30269,0.32261,0.57857,0.32029,0.82778,0.99384,0.96701,1.00041,0.53101,0.00409,0.95456,0.93096
0.0938,0.9693,0.90435,0.95418,0.96368,0.97954,0.98919,0.96491,0.99768,0.54881,0.00633,0.95326,0.92838
0.13829,0.15706,0.12962,0.20075,0.20911,0.44298,0.97483,0.96755,0.9894,0.66683,0.03189,0.74707,0.53556
