,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,COT_est
182823,0.45942,0.42761,0.42955,0.49486,0.70039,0.74782,0.72785,0.75041,0.51429,0.19806,0.14403,0.16294,75.0,2.0
160902,0.46704,0.4778,0.43512,0.54925,0.88989,0.91647,0.8475,0.93518,0.31669,0.00606,0.11233,0.12108,62.18,2.0
113983,0.77974,0.74533,0.76161,0.7881,0.89961,0.93424,0.8545,0.95154,0.71875,0.14276,0.05198,0.06694,40.18,2.0
48184,0.48401,0.49206,0.46761,0.57531,0.92612,0.95669,0.87923,0.97839,0.40094,0.0456,0.6729,0.37787,51.41,2.0
97039,0.25951,0.38846,0.228,0.46987,0.89288,0.95672,0.8334,0.99133,0.05552,0.00028,0.75221,0.30318,38.9,0.0
139303,0.46102,0.48099,0.43803,0.538,0.69671,0.77083,0.6368,0.81018,0.01585,0.0005,0.06962,0.06714,74.66,2.0
30109,0.78978,0.75677,0.79663,0.8101,0.89339,0.94781,0.89863,0.96882,0.48451,0.0296,0.72724,0.59364,43.69,2.0
184723,0.86873,0.82712,0.85359,0.84925,0.91025,0.95166,0.86365,0.98145,0.48043,0.00681,0.04709,0.06037,31.72,2.0
168074,0.77721,0.71706,0.75294,0.76863,0.80447,0.81993,0.78258,0.82531,0.63067,0.10233,0.1122,0.13159,67.28,2.0
25698,0.45273,0.48569,0.43056,0.57693,1.05365,1.07251,1.01579,1.08364,0.43391,0.02963,0.77886,0.37277,48.45,2.0
145700,0.9927,0.9232,0.94576,0.83295,0.89574,0.96699,0.82051,1.01175,0.17244,0.00173,0.17539,0.21165,44.64,2.0
132302,0.36759,0.44782,0.40034,0.70619,0.81713,0.82612,0.81008,0.83594,0.50414,0.03983,0.31581,0.21724,76.89,1.0
122083,0.59325,0.58388,0.57299,0.6327,0.9108,0.97867,0.84251,1.02463,0.53782,0.18994,0.08604,0.10721,33.55,2.0
159986,0.85809,0.81761,0.84077,0.86118,0.91228,0.93167,0.87698,0.93851,0.68853,0.13042,0.09427,0.11725,47.18,2.0
40647,0.42268,0.32755,0.33813,0.29293,0.3233,0.35536,0.29274,0.37001,0.01318,0.001,0.27344,0.15331,82.39,2.0
84036,0.24599,0.28826,0.18479,0.42921,0.93966,0.96105,0.92525,0.98259,0.35721,0.00113,0.7452,0.31577,76.68,0.0
121580,0.92257,0.84574,0.89455,0.88969,0.89755,0.89841,0.86807,0.89247,0.77524,0.24265,0.08854,0.1101,60.01,2.0
180051,0.81221,0.77876,0.80143,0.83401,0.97833,0.98347,0.9324,0.97849,0.65346,0.09625,0.15574,0.18583,36.23,2.0
72074,0.20398,0.32656,0.15729,0.41321,0.88762,0.95081,0.83081,0.98763,0.05661,0.00034,0.64753,0.2509,60.29,0.0
70755,0.24018,0.32752,0.18713,0.39988,0.92523,0.9681,0.87638,0.99402,0.12705,0.00031,0.77911,0.32747,51.03,0.0
46270,0.53288,0.54244,0.51356,0.59928,1.02007,1.06193,0.96621,1.08635,0.24146,0.00043,0.73779,0.4436,42.83,2.0
76370,0.21576,0.24693,0.18159,0.32926,0.95016,0.98059,0.90728,0.99896,0.2036,0.0004,0.6174,0.30496,36.66,0.0
119524,0.78065,0.76465,0.81169,0.82117,0.90169,0.9633,0.84436,1.00753,0.58791,0.12986,0.08254,0.1024,31.99,2.0
14578,0.39674,0.48487,0.36256,0.61731,0.87974,0.92231,0.83352,0.94926,0.11816,0.00034,0.84116,0.48931,54.6,2.0
61024,0.24545,0.35641,0.19159,0.46988,0.9293,0.97059,0.88003,0.99542,0.12835,0.00035,0.68436,0.29073,46.23,0.0
43534,0.77735,0.76134,0.78056,0.82188,1.05609,1.08502,1.00641,1.10544,0.62505,0.10428,0.77243,0.61433,31.68,2.0
156106,0.83415,0.80697,0.82637,0.88113,0.89831,0.92193,0.86633,0.93248,0.72237,0.19365,0.10292,0.12687,50.69,2.0
5418,0.51096,0.44903,0.46534,0.49523,0.70911,0.71758,0.69126,0.72366,0.3417,0.00553,0.43459,0.33191,73.87,2.0
188141,0.55122,0.53231,0.58473,0.59622,0.61645,0.63471,0.62266,0.65269,0.35786,0.06099,0.43329,0.415,46.67,2.0
